_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5e756020f9af8b7bfd91e217,0039,"Wed, 04 Mar 2020 17:35:49 GMT","Thu, 05 Mar 2020 02:07:49 GMT","Wed, 04 Mar 2020 20:37:46 GMT",10.313,2_39_78_366_2020-03-04 17:35:49.188099,0002,CA-323,2-39-78-366,America/Los_Angeles,000000677,"[{'WhPerMile': 325, 'kWhRequested': 19.5, 'milesRequested': 60, 'minutesAvailable': 71, 'modifiedAt': 'Wed, 04 Mar 2020 17:36:53 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 04 Mar 2020 18:46:49 GMT', 'userID': 677}, {'WhPerMile': 325, 'kWhRequested': 19.5, 'milesRequested': 60, 'minutesAvailable': 301, 'modifiedAt': 'Wed, 04 Mar 2020 21:27:36 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 04 Mar 2020 22:36:49 GMT', 'userID': 677}]"
5e756020f9af8b7bfd91e218,0039,"Wed, 04 Mar 2020 17:36:02 GMT","Thu, 05 Mar 2020 02:18:46 GMT","Wed, 04 Mar 2020 19:42:23 GMT",14.226,2_39_95_27_2020-03-04 17:36:01.718496,0002,CA-319,2-39-95-27,America/Los_Angeles,000000714,"[{'WhPerMile': 400, 'kWhRequested': 32.0, 'milesRequested': 80, 'minutesAvailable': 461, 'modifiedAt': 'Wed, 04 Mar 2020 17:36:12 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 01:17:02 GMT', 'userID': 714}, {'WhPerMile': 400, 'kWhRequested': 32.0, 'milesRequested': 80, 'minutesAvailable': 403, 'modifiedAt': 'Wed, 04 Mar 2020 17:36:26 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 00:19:02 GMT', 'userID': 714}]"
5e756020f9af8b7bfd91e219,0039,"Wed, 04 Mar 2020 17:45:01 GMT","Thu, 05 Mar 2020 01:16:38 GMT","Wed, 04 Mar 2020 20:00:34 GMT",7.547,2_39_126_20_2020-03-04 17:45:00.945264,0002,CA-310,2-39-126-20,America/Los_Angeles,000000620,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 441, 'modifiedAt': 'Wed, 04 Mar 2020 17:45:26 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 01:06:01 GMT', 'userID': 620}]"
5e756020f9af8b7bfd91e21a,0039,"Wed, 04 Mar 2020 17:50:16 GMT","Wed, 04 Mar 2020 23:20:30 GMT","Wed, 04 Mar 2020 19:49:16 GMT",12.519,2_39_123_557_2020-03-04 17:50:15.939787,0002,CA-503,2-39-123-557,America/Los_Angeles,000000668,"[{'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 424, 'modifiedAt': 'Wed, 04 Mar 2020 17:51:06 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 00:54:16 GMT', 'userID': 668}, {'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 424, 'modifiedAt': 'Wed, 04 Mar 2020 18:19:55 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 00:54:16 GMT', 'userID': 668}]"
5e756020f9af8b7bfd91e21b,0039,"Wed, 04 Mar 2020 17:50:40 GMT","Thu, 05 Mar 2020 03:15:30 GMT","Wed, 04 Mar 2020 19:43:46 GMT",11.64,2_39_92_436_2020-03-04 17:50:39.997512,0002,CA-318,2-39-92-436,America/Los_Angeles,000000558,"[{'WhPerMile': 400, 'kWhRequested': 24.0, 'milesRequested': 60, 'minutesAvailable': 60, 'modifiedAt': 'Wed, 04 Mar 2020 17:50:43 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 04 Mar 2020 18:50:40 GMT', 'userID': 558}]"
5e756020f9af8b7bfd91e21c,0039,"Wed, 04 Mar 2020 18:09:39 GMT","Thu, 05 Mar 2020 02:09:18 GMT","Wed, 04 Mar 2020 20:12:16 GMT",12.317,2_39_88_24_2020-03-04 18:09:39.495323,0002,CA-314,2-39-88-24,America/Los_Angeles,000001095,"[{'WhPerMile': 400, 'kWhRequested': 16.0, 'milesRequested': 40, 'minutesAvailable': 444, 'modifiedAt': 'Wed, 04 Mar 2020 18:09:47 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 01:33:39 GMT', 'userID': 1095}]"
5e756020f9af8b7bfd91e21d,0039,"Wed, 04 Mar 2020 18:26:07 GMT","Wed, 04 Mar 2020 19:29:22 GMT","Wed, 04 Mar 2020 19:22:44 GMT",5.524,2_39_124_22_2020-03-04 18:26:07.211283,0002,CA-312,2-39-124-22,America/Los_Angeles,000000710,"[{'WhPerMile': 400, 'kWhRequested': 24.0, 'milesRequested': 60, 'minutesAvailable': 94, 'modifiedAt': 'Wed, 04 Mar 2020 18:26:38 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 04 Mar 2020 20:00:07 GMT', 'userID': 710}]"
5e756020f9af8b7bfd91e21e,0039,"Wed, 04 Mar 2020 20:28:05 GMT","Thu, 05 Mar 2020 01:38:21 GMT","Wed, 04 Mar 2020 20:41:05 GMT",0.896,2_39_124_22_2020-03-04 20:28:05.170797,0002,CA-312,2-39-124-22,America/Los_Angeles,000000710,"[{'WhPerMile': 400, 'kWhRequested': 24.0, 'milesRequested': 60, 'minutesAvailable': 94, 'modifiedAt': 'Wed, 04 Mar 2020 20:28:34 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 04 Mar 2020 22:02:05 GMT', 'userID': 710}]"
5e756020f9af8b7bfd91e21f,0039,"Wed, 04 Mar 2020 20:57:56 GMT","Wed, 04 Mar 2020 23:59:28 GMT","Wed, 04 Mar 2020 22:19:38 GMT",4.115,2_39_78_367_2020-03-04 20:57:55.806549,0002,CA-494,2-39-78-367,America/Los_Angeles,000000891,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 216, 'modifiedAt': 'Wed, 04 Mar 2020 20:58:00 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 00:33:56 GMT', 'userID': 891}]"
5e756020f9af8b7bfd91e220,0039,"Wed, 04 Mar 2020 21:09:28 GMT","Thu, 05 Mar 2020 03:29:02 GMT","Wed, 04 Mar 2020 23:07:29 GMT",6.489,2_39_91_441_2020-03-04 21:09:28.255011,0002,CA-499,2-39-91-441,America/Los_Angeles,000001124,"[{'WhPerMile': 400, 'kWhRequested': 8.0, 'milesRequested': 20, 'minutesAvailable': 60, 'modifiedAt': 'Wed, 04 Mar 2020 21:09:49 GMT', 'paymentRequired': True, 'requestedDeparture': 'Wed, 04 Mar 2020 22:09:28 GMT', 'userID': 1124}]"
5e756020f9af8b7bfd91e221,0039,"Wed, 04 Mar 2020 22:09:38 GMT","Thu, 05 Mar 2020 03:50:03 GMT","Thu, 05 Mar 2020 03:49:58 GMT",38.057,2_39_123_23_2020-03-04 22:09:28.431781,0002,CA-313,2-39-123-23,America/Los_Angeles,000002743,"[{'WhPerMile': 240, 'kWhRequested': 60.0, 'milesRequested': 250, 'minutesAvailable': 577, 'modifiedAt': 'Wed, 04 Mar 2020 22:09:38 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 07:46:38 GMT', 'userID': 2743}]"
5e756020f9af8b7bfd91e222,0039,"Wed, 04 Mar 2020 22:13:48 GMT","Thu, 05 Mar 2020 01:38:39 GMT","Wed, 04 Mar 2020 23:45:01 GMT",4.762,2_39_90_26_2020-03-04 22:13:47.805247,0002,CA-316,2-39-90-26,America/Los_Angeles,000002170,"[{'WhPerMile': 400, 'kWhRequested': 28.0, 'milesRequested': 70, 'minutesAvailable': 417, 'modifiedAt': 'Wed, 04 Mar 2020 22:14:14 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 05:10:48 GMT', 'userID': 2170}]"
5e756020f9af8b7bfd91e223,0039,"Thu, 05 Mar 2020 04:48:55 GMT","Thu, 05 Mar 2020 05:58:44 GMT","Thu, 05 Mar 2020 05:58:39 GMT",3.885,2_39_131_30_2020-03-05 04:48:55.007446,0002,CA-305,2-39-131-30,America/Los_Angeles,000004622,"[{'WhPerMile': 300, 'kWhRequested': 6.0, 'milesRequested': 20, 'minutesAvailable': 61, 'modifiedAt': 'Thu, 05 Mar 2020 04:49:21 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 05:49:55 GMT', 'userID': 4622}]"
5e76b19ff9af8b7fd368f9c7,0039,"Thu, 05 Mar 2020 15:41:47 GMT","Thu, 05 Mar 2020 17:05:12 GMT","Thu, 05 Mar 2020 17:03:58 GMT",0.885,2_39_78_366_2020-03-05 15:41:47.502212,0002,CA-323,2-39-78-366,America/Los_Angeles,,
5e76b19ff9af8b7fd368f9c8,0039,"Thu, 05 Mar 2020 15:47:51 GMT","Fri, 06 Mar 2020 01:30:11 GMT","Thu, 05 Mar 2020 17:55:23 GMT",6.69,2_39_79_382_2020-03-05 15:47:51.518370,0002,CA-491,2-39-79-382,America/Los_Angeles,000004701,"[{'WhPerMile': 300, 'kWhRequested': 9.0, 'milesRequested': 30, 'minutesAvailable': 480, 'modifiedAt': 'Thu, 05 Mar 2020 15:48:05 GMT', 'paymentRequired': True, 'requestedDeparture': 'Thu, 05 Mar 2020 23:47:51 GMT', 'userID': 4701}]"
